id,title,author,authors,isbn13,isbn10,price,publisher,pubyear,subjects,lexile,pages,dimensions
173,"To The Shore Once More, Volume II: A Journey Down The Jersey Shore; Prose, Poetry, And Works Of Art",Frank Finale,"Frank Finale, George C. Valente, Rich Youmans",9780963290625,963290622,$48.00,Jersey Shore Publications,2001,Literary Collections,,,
208,"To the Shore Once More: A Portrait Of The Jersey Shore; Prose, Poetry, and Works of Art",Frank Finale,"Frank Finale, Finale Fran",9780963290618,963290614,$44.00,Jersey Shore Publications,1999,"Literary Criticism, General",,,
434,Caroling Dusk,Countee Cullen,"Countee Cullen, Countee Cullen",9780806513492,806513497,$15.45,Kensington Publishing Corporation,1993,"Poetry, American Literature Anthologies, Anthologies",,264.0,6.00 (w) x 9.00 (h) x 0.60 (d)
391,Literature and Aging: An Anthology,Martin Kohn,"Martin Kohn, Delese Wear, Carol Donley",9780873384667,873384660,$29.00,Kent State University Press,1993,"Aging - General & Miscellaneous, Literature Anthologies - General & Miscellaneous, Gerontology, English & Irish Literature Anthologies, American Literature Anthologies",,456.0,6.25 (w) x 9.18 (h) x 1.13 (d)
75,Poems That Touch the Heart,A.L. Alexander,"A.L. Alexander, A. L. Alexander, A. L. Alexander",9780385044011,385044011,$14.99,Knopf Doubleday Publishing Group,1984,"Poetry Anthologies, American Poetry, American Literature Anthologies, Inspirational & Religious Poetry - General & Miscellaneous",,464.0,5.79 (w) x 8.54 (h) x 1.55 (d)
351,Tuscany in Mind,Alice Leccese Powers,"Alice Leccese Powers, Alice Leccese Powers",9781400076758,1400076757,$11.42,Knopf Doubleday Publishing Group,2005,"Northern Italy - Tuscany - Travel, Italy - Travel Essays & Descriptions, English & Irish Literature Anthologies, American Literature Anthologies",,400.0,5.10 (w) x 8.00 (h) x 1.00 (d)
283,Beat Poets,Carmela Ciuraru,"Carmela Ciuraru, Kevin Young",9780375413322,375413324,$10.63,Knopf Doubleday Publishing Group,2002,"Poetry Anthologies, American Poetry, American Literature Anthologies",,256.0,4.40 (w) x 6.53 (h) x 0.77 (d)
142,Bordering Fires: The Vintage Book of Contemporary Mexican and Chicano/a Literature,Cristina Garcia,Cristina Garcia,9781400077182,1400077184,$13.95,Knopf Doubleday Publishing Group,2006,"Peoples & Cultures - American Anthologies, Hispanic & Latin American Literature Anthologies",,304.0,5.25 (w) x 7.96 (h) x 0.66 (d)
184,Black on White: Black Writers on What It Means to Be White,David R. Roediger,David R. Roediger,9780805211146,805211144,$9.99,Knopf Doubleday Publishing Group,1999,"African Americans - General & Miscellaneous, Reference - General & Miscellaneous",,368.0,5.24 (w) x 7.99 (h) x 0.80 (d)
217,Crossing the Danger Water: Three Hundred Years of African-American Writing,Deirdre Mullane,"Deirdre Mullane, Deirdre Mullane",9780385422437,385422431,$19.74,Knopf Doubleday Publishing Group,1993,"Peoples & Cultures - American Anthologies, General & Miscellaneous African American History",,800.0,6.10 (w) x 9.20 (h) x 1.70 (d)
133,Poems of New York,Elizabeth Schmidt,"Elizabeth Schmidt, Kevin Young",9780375415043,375415041,$11.02,Knopf Doubleday Publishing Group,2002,"Poetry Anthologies, American Poetry, Poetry of Places, American Literature Anthologies",,256.0,4.34 (w) x 6.49 (h) x 0.74 (d)
52,The Best Loved Poems of the American People,Hazel Felleman,"Hazel Felleman, Edward Frank Allen, Hazel Felleman",9780385000192,385000197,$17.92,Knopf Doubleday Publishing Group,1936,"Poetry Anthologies, American Poetry, Poetry - General & Miscellaneous, American Literature Anthologies",,670.0,5.99 (w) x 8.56 (h) x 2.06 (d)
324,Poems That Live Forever,Hazel Felleman,Hazel Felleman,9780385003582,385003587,$18.55,Knopf Doubleday Publishing Group,1965,"Poetry Anthologies, American Poetry, American Literature Anthologies, Inspirational & Religious Poetry - General & Miscellaneous",,480.0,5.75 (w) x 8.55 (h) x 1.45 (d)
62,The Vintage Book of Contemporary American Poetry,J. D. McClatchy,J. D. McClatchy,9781400030934,1400030935,$13.65,Knopf Doubleday Publishing Group,2003,"Poetry Anthologies, American Poetry, American Literature Anthologies",,656.0,5.20 (w) x 7.99 (h) x 1.16 (d)
113,The Four Seasons: Poems,J. D. McClatchy,J. D. McClatchy,9780307268341,307268349,$11.16,Knopf Doubleday Publishing Group,2008,"Poetry Anthologies, American Poetry, English Poetry, Literature Anthologies - General & Miscellaneous, English & Irish Literature Anthologies, American Literature Anthologies",,256.0,6.48 (w) x 4.38 (h) x 0.73 (d)
